Code,"Scientific Name","Common Name","Last Update","# of Sequences","NCBI TaxonId",D.
VIBCH,"Vibrio cholerae  serotype O1 (strain ATCC 39315 / El Tor Inaba N16961)",,2010-Mar-21,3782,243277,B
PANAA,"Pantoea ananatis  (strain AJ13355)",,2012-Jan-19,3782,932677,B
YEASA,"Saccharomyces cerevisiae  (strain AWRI796)","Baker's yeast",2018-Mar-05,3786,764097,E
TRYVY,"Trypanosoma vivax  (strain Y486)",,2018-Dec-12,3790,1055687,E
OCEGH,"Oceanicola granulosus  (strain ATCC BAA-861 / DSM 15982 / KCTC 12143 / HTCC2516)",,2018-Mar-03,3792,314256,B
THEAN,"Theileria annulata",,2017-Aug-12,3795,5874,E
ALISL,"Aliivibrio salmonicida  (strain LFI1238)",,2009-Jan-19,3796,316275,B
GEODF,"Geobacter daltonii  (strain DSM 22248 / JCM 15807 / FRC-32)",,2014-Jun-18,3797,316067,B
BUTPB,"Butyrivibrio proteoclasticus  (strain ATCC 51982 / DSM 14932 / B316)",,2012-Jan-19,3799,515622,B
THECK,"Thermobacillus composti  (strain DSM 18247 / JCM 13945 / KWC4)",,2014-Nov-05,3802,717605,B
CRYPI,"Cryptosporidium parvum  (strain Iowa II)",,2016-Jul-03,3804,353152,E
CRYPV,"Cryptosporidium parvum",,2007-Jul-22,3804,5807,E
DESAD,"Desulfovibrio salexigens  (strain ATCC 14822 / DSM 2638 / NCIB 8403 / VKM B-1763)",,2012-Nov-08,3807,526222,B
SALHC,"Salinisphaera hydrothermalis  (strain C41B8)",,2019-Dec-12,3808,1304275,B
SIMAS,"Simiduia agarivorans  (strain DSM 21679 / JCM 13881 / BCRC 17597 / SA1)",,2014-Nov-05,3811,1117647,B
SOLSS,"Solibacillus silvestris  (strain StLB046)",,2014-Nov-05,3811,1002809,B
METSB,"Methylocella silvestris  (strain DSM 15510 / CIP 108128 / LMG 27833 / NCIMB 13906 / BL2)",,2009-Jun-21,3816,395965,B
YERPG,"Yersinia pestis  bv. Antiqua (strain Angola)",,2008-Sep-09,3817,349746,B
ACIBD,"Acinetobacter baumannii  (strain TCDC-AB0715)",,2012-Nov-29,3818,980514,B
ALIF1,"Aliivibrio fischeri  (strain ATCC 700601 / ES114)",,2014-Mar-24,3819,312309,B
THEVU,"Thermoactinomyces vulgaris",,2020-Jan-26,3820,2026,B
CLOK5,"Clostridium kluyveri  (strain ATCC 8527 / DSM 555 / NCIMB 10680)",,2008-Mar-24,3823,431943,B
SACVD,"Saccharomonospora viridis  (strain ATCC 15386 / DSM 43017 / JCM 3036 / NBRC 12207 / P101)",,2010-Jan-18,3828,471857,B
BERLS,"Bernardetia litoralis  (strain ATCC 23117 / DSM 6794 / NBRC 15988 / NCIMB 1366 / Sio-4)",,2015-Nov-18,3828,880071,B
PARD8,"Parabacteroides distasonis  (strain ATCC 8503 / DSM 20701 / CIP 104284 / JCM 5825 / NCTC 11152)",,2007-Sep-16,3831,435591,B
PHEZH,"Phenylobacterium zucineum  (strain HLK1)",,2008-Dec-10,3837,450851,B
RHORT,"Rhodospirillum rubrum  (strain ATCC 11170 / ATH 1.1.1 / DSM 467 / LMG 4362 / NCIB 8255 / S1)",,2014-Mar-24,3839,269796,B
BACCN,"Bacillus cytotoxicus  (strain DSM 22905 / CIP 110041 / 391-98 / NVH 391-98)",,2008-Feb-26,3839,315749,B
OLICO,"Oligotropha carboxidovorans  (strain ATCC 49405 / DSM 1227 / KCTC 32145 / OM5)",,2009-May-15,3845,504832,B
RUEST,"Ruegeria sp.  (strain TM1040)",,2014-Jun-18,3847,292414,B
PRORD,"Providencia rettgeri  (strain Dmel1)",,2018-Jan-28,3848,1141663,B
SHIF8,"Shigella flexneri  serotype 5b (strain 8401)",,2007-Mar-07,3849,373384,B
CLOAB,"Clostridium acetobutylicum  (strain ATCC 824 / DSM 792 / JCM 1419 / LMG 5710 / VKM B-1787)",,2010-Mar-21,3849,272562,B
CHLAA,"Chloroflexus aurantiacus  (strain ATCC 29366 / DSM 635 / J-10-fl)",,2008-Mar-24,3850,324602,B
PHAIB,"Phaeobacter inhibens  (strain ATCC 700781 / DSM 17395 / CIP 105210 / JCM 21319 / NBRC 16654 / NCIMB 13546 / BS107)",,2015-Nov-26,3850,391619,B
GLUDA,"Gluconacetobacter diazotrophicus  (strain ATCC 49037 / DSM 5601 / CCUG 37298 / CIP 103539 / LMG 7603 / PAl5)",,2008-Mar-24,3850,272568,B
CLOBK,"Clostridium botulinum  (strain Okra / Type B1)",,2008-Jul-13,3850,498213,B
CAUVN,"Caulobacter vibrioides  (strain NA1000 / CB15N)",,2009-Nov-01,3852,565050,B
SHELP,"Shewanella loihica  (strain ATCC BAA-1088 / PV-4)",,2007-May-20,3854,323850,B
ACIMA,"Acidiphilium multivorum  (strain DSM 11245 / JCM 8867 / NBRC 100883 / AIU301)",,2015-Mar-17,3854,926570,B
MYCTF,"Mycobacterium tuberculosis  (strain F11)",,2007-Mar-08,3855,336982,B
HALHT,"Haloarcula hispanica  (strain ATCC 33960 / DSM 4426 / JCM 8911 / NBRC 102182 / NCIMB 2187 / VKM B-1755)",,2012-Aug-19,3855,634497,A
PARRH,"Paraburkholderia rhizoxinica  (strain DSM 19002 / CIP 109453 / HKI 454)",,2015-Mar-28,3858,882378,B
CLOBJ,"Clostridium botulinum  (strain Kyoto / Type A2)",,2010-Feb-12,3860,536232,B
HALMT,"Haloferax mediterranei  (strain ATCC 33500 / DSM 1411 / JCM 8866 / NBRC 14739 / NCIMB 2177 / R-4)",,2012-Nov-29,3861,523841,A
CLOD6,"Clostridioides difficile  (strain 630)",,2014-Jun-18,3862,272563,B
SHIBC,"Shimwellia blattae  (strain ATCC 29907 / DSM 4481 / JCM 1650 / NBRC 105725 / CDC 9005-74)",,2012-Nov-13,3867,630626,B
ACISD,"Acinetobacter oleivorans  (strain JCM 16667 / KCTC 23045 / DR1)",,2015-Mar-08,3873,436717,B
PELHB,"Pelagibacterium halotolerans  (strain DSM 22347 / JCM 15775 / CGMCC 1.7692 / B2)",,2013-Jan-10,3874,1082931,B
ALTME,"Alteromonas macleodii  (strain English Channel 673)",,2013-Aug-19,3876,1004788,B
SHIDS,"Shigella dysenteriae  serotype 1 (strain Sd197)",,2014-Mar-24,3879,300267,B
RAMTT,"Ramlibacter tataouinensis  (strain ATCC BAA-407 / DSM 14655 / LMG 21543 / TTB310)",,2012-Nov-15,3880,365046,B
LACP7,"Lachnoclostridium phytofermentans  (strain ATCC 700394 / DSM 18823 / ISDg)",,2008-Mar-24,3889,357809,B
HALBP,"Halogeometricum borinquense  (strain ATCC 700274 / DSM 11551 / JCM 10706 / KCTC 4070 / PR3)",,2012-Aug-19,3894,469382,A
BACAS,"Bacillus amyloliquefaciens  (strain ATCC 23350 / DSM 7 / BCRC 11601 / NBRC 15535 / NRRL B-14393)",,2014-Nov-05,3901,692420,B
SHIBS,"Shigella boydii  serotype 4 (strain Sb227)",,2014-Mar-24,3905,300268,B
LEGPH,"Legionella pneumophila  subsp. pneumophila (strain Philadelphia 1 / ATCC 33152 / DSM 7513)",,2014-Mar-24,3908,272624,B
MYCCP,"Mycobacterium canettii  (strain CIPT 140010059)",,2012-Nov-29,3909,1048245,B
CLOAE,"Clostridium acetobutylicum  (strain EA 2018)",,2012-Feb-09,3912,863638,B
MYCA0,"Mycobacterium africanum  (strain GM041182)",,2015-Jun-16,3916,572418,B
NOVAD,"Novosphingobium aromaticivorans  (strain ATCC 700278 / DSM 12444 / CIP 105152 / NBRC 16084 / F199)",,2008-Nov-06,3917,279238,B
SHESM,"Shewanella sp.  (strain MR-4)",,2006-Nov-21,3918,60480,B
MYCBT,"Mycobacterium bovis  (strain BCG / Tokyo 172 / ATCC 35737 / TMC 1019)",,2010-Sep-29,3924,561275,B
MYCBP,"Mycobacterium bovis  (strain BCG / Pasteur 1173P2)",,2007-May-03,3924,410289,B
THASP,"Thauera sp.  (strain MZ1T)",,2010-Feb-12,3927,85643,B
CRYMR,"Cryptosporidium muris  (strain RN66)",,2016-Jul-03,3928,441375,E
YEASV,"Saccharomyces cerevisiae  (strain VIN 13)","Baker's yeast",2018-Mar-05,3930,764099,E
TERRK,"Terriglobus roseus  (strain DSM 18391 / NRRL B-41598 / KBS 63)",,2012-Nov-13,3931,926566,B
GEMAT,"Gemmatimonas aurantiaca  (strain T-27 / DSM 14586 / JCM 11422 / NBRC 100505)",,2014-May-21,3931,379066,B
ERWP6,"Erwinia pyrifoliae  (strain DSM 12163 / CIP 106111 / Ep16/96)",,2014-Oct-02,3931,644651,B
ADVKW,"Advenella kashmirensis  (strain DSM 17095 / LMG 22695 / WT001)",,2014-Oct-02,3933,1036672,B
YERPP,"Yersinia pestis  (strain Pestoides F)",,2007-Jul-08,3937,386656,B
YERPN,"Yersinia pestis  bv. Antiqua (strain Nepal516)",,2006-Oct-03,3937,377628,B
SALBC,"Salmonella bongori  (strain ATCC 43975 / DSM 13772 / NCTC 12419)",,2012-Nov-29,3938,218493,B
ROSDO,"Roseobacter denitrificans  (strain ATCC 33942 / OCh 114)",,2006-Sep-13,3939,375451,B
MYCBO,"Mycobacterium bovis  (strain ATCC BAA-935 / AF2122/97)",,2014-Mar-24,3943,233413,B
SHEPC,"Shewanella putrefaciens  (strain CN-32 / ATCC BAA-453)",,2007-Dec-09,3948,319224,B
ALTMB,"Alteromonas macleodii  (strain Balearic Sea AD45)",,2014-Nov-05,3948,1004787,B
MYCTU,"Mycobacterium tuberculosis  (strain ATCC 25618 / H37Rv)",,2009-Dec-13,3954,83332,B
PSEUL,"Pseudogulbenkiania sp.  (strain NH8B)",,2015-Nov-18,3958,748280,B
METAA,"Methylomicrobium alcaliphilum",,2012-Jan-02,3960,271065,B
DICP7,"Dickeya paradisiaca  (strain Ech703)",,2010-Feb-24,3960,579405,B
CLOB6,"Clostridium botulinum  (strain 657 / Type Ba4)",,2010-May-24,3977,515621,B
AZOSB,"Azoarcus sp.  (strain BH72)",,2007-Mar-07,3980,418699,B
BACV8,"Bacteroides vulgatus  (strain ATCC 8482 / DSM 1447 / JCM 5826 / NBRC 14291 / NCTC 11154)",,2007-Sep-16,3980,435590,B
YERE3,"Yersinia enterocolitica  subsp. palearctica serotype O:9 / biotype 3 (strain 105.5R(r))",,2011-Sep-23,3981,994476,B
CLOBM,"Clostridium botulinum  (strain Loch Maree / Type A3)",,2008-Jul-13,3982,498214,B
HALVD,"Haloferax volcanii  (strain ATCC 29605 / DSM 3757 / JCM 8879 / NBRC 14742 / NCIMB 2012 / VKM B-1768 / DS2)",,2010-Jul-19,3986,309800,A
SHEFN,"Shewanella frigidimarina  (strain NCIMB 400)",,2006-Nov-21,3989,318167,B
MYCTA,"Mycobacterium tuberculosis  (strain ATCC 25177 / H37Ra)",,2007-Sep-16,3991,419947,B
SACD2,"Saccharophagus degradans  (strain 2-40 / ATCC 43961 / DSM 17024)",,2014-Mar-24,3998,203122,B
BACHD,"Bacillus halodurans  (strain ATCC BAA-125 / DSM 18197 / FERM 7344 / JCM 9153 / C-125)",,2010-Mar-21,4002,272558,B
SHESR,"Shewanella sp.  (strain MR-7)",,2006-Nov-21,4003,60481,B
YERPE,"Yersinia pestis",,2009-Sep-14,4006,214092,B
SHESW,"Shewanella sp.  (strain W3-18-1)",,2007-Mar-07,4007,351745,B
AERVB,"Aeromonas veronii  (strain B565)",,2014-Mar-04,4009,998088,B
GEOBB,"Geobacter bemidjiensis  (strain Bem / ATCC BAA-1014 / DSM 16622)",,2009-Jan-19,4009,404380,B
SYNFM,"Syntrophobacter fumaroxidans  (strain DSM 10017 / MPOB)",,2007-Mar-07,4010,335543,B
FLUTR,"Fluviicola taffensis  (strain DSM 16823 / NCIMB 13979 / RW262)",,2012-Jan-25,4016,755732,B
DESAS,"Desulfofarcimen acetoxidans  (strain ATCC 49208 / DSM 771 / VKM B-1644 / 5575)",,2010-Feb-24,4016,485916,B
RHOCS,"Rhodospirillum centenum  (strain ATCC 51521 / SW)",,2009-Feb-18,4019,414684,B
MYCTK,"Mycobacterium tuberculosis  (strain KZN 1435 / MDR)",,2010-Oct-12,4021,478434,B
STRM5,"Stenotrophomonas maltophilia  (strain R551-3)",,2008-Dec-10,4026,391008,B
VIBSN,"Vibrio sp.  (strain N418)",,2019-Aug-11,4031,701176,B
ALIFM,"Aliivibrio fischeri  (strain MJ11)",,2009-Jan-19,4034,388396,B
METSZ,"Methylocystis sp.  (strain SC2)",,2015-Jun-16,4038,187303,B
ECOBW,"Escherichia coli  (strain K12 / MC4100 / BW2952)",,2010-Feb-24,4040,595496,B
ACISJ,"Acidovorax sp.  (strain JS42)",,2007-Mar-08,4042,232721,B
SHISS,"Shigella sonnei  (strain Ss046)",,2014-Mar-24,4044,300269,B
ALTMD,"Alteromonas mediterranea  (strain DSM 17117 / CIP 110805 / LMG 28347 / Deep ecotype)",,2008-Oct-26,4046,1774373,B
ECODH,"Escherichia coli  (strain K12 / DH10B)",,2008-Jul-13,4050,316385,B
BACPZ,"Bacillus subtilis  subsp. spizizenii (strain ATCC 23059 / NRRL B-14472 / W23)",,2012-Apr-01,4054,655816,B
SEBTE,"Sebaldella termitidis  (strain ATCC 33386 / NCTC 11300)",,2010-Jun-14,4056,526218,B
SHEP2,"Shewanella putrefaciens  (strain 200)",,2014-Mar-02,4062,399804,B
FRADG,"Frankia symbiont  subsp. Datisca glomerata",,2012-Apr-01,4062,2714109,B
GEOSM,"Geobacter sp.  (strain M21)",,2010-Jan-18,4067,443144,B
META2,"Methylomicrobium alcaliphilum  (strain DSM 19304 / NCIMB 14124 / VKM B-2133 / 20Z)",,2015-Mar-28,4069,1091494,B
DINSH,"Dinoroseobacter shibae  (strain DSM 16493 / NCIMB 14021 / DFL 12)",,2008-Mar-24,4074,398580,B
PSEPM,"Pseudarthrobacter phenanthrenivorans  (strain DSM 18606 / JCM 16027 / LMG 23796 / Sphe3)",,2014-Nov-05,4076,930171,B
THEPA,"Theileria parva","East coast fever infection agent",2018-Jul-11,4079,5875,E
SALPA,"Salmonella paratyphi A  (strain ATCC 9150 / SARB42)",,2014-Mar-24,4082,295319,B
TURPD,"Turneriella parva  (strain ATCC BAA-1111 / DSM 21527 / NCTC 11395 / H)",,2015-Mar-08,4091,869212,B
YERPS,"Yersinia pseudotuberculosis  serotype I (strain IP32953)",,2009-Sep-14,4093,273123,B
PSEU5,"Pseudomonas stutzeri  (strain A1501)",,2007-Jul-08,4093,379731,B
CALAS,"Caldilinea aerophila  (strain DSM 14535 / JCM 11387 / NBRC 104270 / STL-6-O1)",,2014-Oct-02,4095,926550,B
BACSK,"Bacillus clausii  (strain KSM-K16)",,2014-Mar-24,4102,66692,B
ALIAG,"Alicyclobacillus acidoterrestris  (strain ATCC 49025 / DSM 3922 / CIP 106132 / NCIMB 13137 / GD3B)",,2020-Jan-23,4103,1356854,B
YERE8,"Yersinia enterocolitica  serotype O:8 / biotype 1B (strain NCTC 13174 / 8081)",,2007-Mar-29,4106,393305,B
RHOS1,"Rhodobacter sphaeroides  (strain ATCC 17029 / ATH 2.4.9)",,2007-May-20,4111,349101,B
CELAD,"Cellulophaga algicola  (strain DSM 14237 / IC166 / ACAM 630)",,2014-Oct-02,4114,688270,B
MARM1,"Marinomonas mediterranea  (strain ATCC 700492 / JCM 21426 / NBRC 103028 / MMB-1)",,2012-Dec-17,4118,717774,B
AERHH,"Aeromonas hydrophila  subsp. hydrophila (strain ATCC 7966 / DSM 30187 / JCM 1027 / KCTC 2358 / NCIMB 9240)",,2007-Mar-08,4120,380703,B
SHIB3,"Shigella boydii  serotype 18 (strain CDC 3083-94 / BS512)",,2008-Sep-09,4121,344609,B
XANCP,"Xanthomonas campestris  pv. campestris (strain ATCC 33913 / DSM 3586 / NCPPB 528 / LMG 568 / P 25)",,2009-Sep-16,4123,190485,B
ECOD1,"Escherichia coli  (strain ATCC 33849 / DSM 4235 / NCIB 12045 / K12 / DH1)",,2010-Sep-29,4123,536056,B
YERPA,"Yersinia pestis  bv. Antiqua (strain Antiqua)",,2006-Oct-03,4129,360102,B
DICC1,"Dickeya chrysanthemi  (strain Ech1591)",,2010-Jan-18,4130,561229,B
CLOSW,"Clostridium saccharolyticum  (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1)",,2013-Jan-10,4132,610130,B
CAUST,"Caulobacter segnis  (strain ATCC 21756 / DSM 7131 / JCM 7823 / NBRC 15250 / LMG 17158 / TK0059)",,2011-Apr-10,4136,509190,B
NATP1,"Natrinema pellirubrum  (strain DSM 15624 / CIP 106293 / JCM 10476 / NCIMB 786 / 157)",,2014-Oct-26,4138,797303,A
ECOLI,"Escherichia coli  (strain K12)",,2018-Mar-25,4140,511145,B
DICZ5,"Dickeya zeae  (strain Ech586)",,2013-Dec-19,4141,590409,B
ECOBR,"Escherichia coli  (strain B / REL606)",,2011-Mar-21,4141,413997,B
XENBS,"Xenorhabdus bovienii  (strain SS-2004)",,2014-Oct-02,4142,406818,B
BACST,"Bacillus subtilis  (strain BSn5)",,2013-Dec-17,4144,936156,B
CELLD,"Cellulosilyticum lentocellum  (strain ATCC 49066 / DSM 5427 / NCIMB 11756 / RHM5)",,2015-Nov-26,4149,642492,B
CLOLD,"Clostridium ljungdahlii  (strain ATCC 55383 / DSM 13528 / PETC)",,2012-Dec-17,4149,748727,B
CHLSY,"Chloroflexus aurantiacus  (strain ATCC 29364 / DSM 637 / Y-400-fl)",,2009-Jun-25,4153,480224,B
DECAR,"Dechloromonas aromatica  (strain RCB)",,2014-Mar-24,4155,159087,B
ECOBD,"Escherichia coli  (strain B / BL21-DE3)",,2010-Jul-11,4156,469008,B
ECOBB,"Escherichia coli  (strain B / BL21)",,2009-Nov-01,4157,511693,B
DEIPD,"Deinococcus peraridilitoris  (strain DSM 19664 / LMG 22246 / CIP 109416 / KR-200)",,2015-Mar-27,4163,937777,B
MARHV,"Marinobacter hydrocarbonoclasticus  (strain ATCC 700491 / DSM 11845 / VT8)",,2007-Mar-07,4168,351348,B
YERPY,"Yersinia pseudotuberculosis  serotype O:3 (strain YPIII)",,2008-Jul-13,4169,502800,B
TSUPD,"Tsukamurella paurometabola  (strain ATCC 8368 / DSM 20162 / JCM 10117 / NBRC 16120 / NCTC 13040)",,2014-Oct-02,4169,521096,B
ECOLC,"Escherichia coli  (strain ATCC 8739 / DSM 1576 / Crooks)",,2008-Jul-13,4171,481805,B
NATA1,"Natrialba asiatica  (strain ATCC 700177 / DSM 12278 / JCM 9576 / FERM P-10747 / NBRC 102637 / 172P1)",,2017-Aug-09,4176,29540,A
TERSS,"Terriglobus saanensis  (strain ATCC BAA-1853 / DSM 23119 / SP1PR4)",,2014-Mar-04,4177,401053,B
SHEPA,"Shewanella pealeana  (strain ATCC 700345 / ANG-SQ1)",,2008-Mar-05,4179,398579,B
PSEUT,"Pseudomonas stutzeri  (strain ATCC 17588 / DSM 5190 / CCUG 11256 / JCM 5965 / LMG 11199 / NCIMB 11358 / Stanier 221)",,2015-Apr-07,4181,96563,B
XANOM,"Xanthomonas oryzae  pv. oryzae (strain MAFF 311018)",,2014-Mar-24,4184,342109,B
DESTT,"Desulfobacula toluolica  (strain DSM 7467 / Tol2)",,2015-Apr-07,4185,651182,B
BACA1,"Bacillus atrophaeus  (strain 1942)",,2012-Nov-13,4186,720555,B
THIV6,"Thiocystis violascens  (strain ATCC 17096 / DSM 198 / 6111)",,2013-Dec-17,4188,765911,B
MYCUA,"Mycobacterium ulcerans  (strain Agy99)",,2007-Mar-07,4194,362242,B
BEUC1,"Beutenbergia cavernae  (strain ATCC BAA-8 / DSM 12333 / NBRC 16432)",,2010-Sep-29,4195,471853,B
RHOS5,"Rhodobacter sphaeroides  (strain ATCC 17025 / ATH 2.4.3)",,2007-Dec-09,4198,349102,B
CLOC7,"Clostridium cellulovorans  (strain ATCC 35296 / DSM 3052 / OCM 3 / 743B)",,2012-Nov-29,4209,573061,B
SEDSS,"Sediminispirochaeta smaragdinae  (strain DSM 11293 / JCM 15392 / SEBR 4228)",,2012-Jan-25,4210,573413,B
SAPGL,"Saprospira grandis  (strain Lewin)",,2014-Nov-05,4211,984262,B
YERPB,"Yersinia pseudotuberculosis  serotype IB (strain PB1/+)",,2008-Jul-13,4213,502801,B
PROSM,"Providencia stuartii  (strain MRSN 2154)",,2013-Aug-19,4218,1157951,B
SHEB5,"Shewanella baltica  (strain OS155 / ATCC BAA-1091)",,2007-Dec-09,4218,325240,B
HALXS,"Halopiger xanaduensis  (strain DSM 18323 / JCM 14033 / SH-6)",,2012-Aug-19,4221,797210,A
NITHX,"Nitrobacter hamburgensis  (strain DSM 10229 / NCIMB 13809 / X14)",,2006-Sep-25,4226,323097,B
BACPT,"Bacillus subtilis  subsp. spizizenii (strain TU-B-10)",,2015-Mar-27,4226,1052585,B
HALMA,"Haloarcula marismortui  (strain ATCC 43049 / DSM 3752 / JCM 8966 / VKM B-1809)",,2014-Mar-24,4231,272569,A
XANC8,"Xanthomonas campestris  pv. campestris (strain 8004)",,2014-Mar-24,4235,314565,B
ENT38,"Enterobacter sp.  (strain 638)",,2008-Feb-07,4236,399742,B
PANAM,"Pantoea ananatis  (strain LMG 20103)",,2011-May-30,4237,706191,B
METTV,"Methylobacter tundripaludum  (strain ATCC BAA-1195 / DSM 17260 / SV96)",,2019-Aug-11,4241,697282,B
PECCP,"Pectobacterium carotovorum  subsp. carotovorum (strain PC1)",,2010-Jan-18,4245,561230,B
PEDHD,"Pedobacter heparinus  (strain ATCC 13125 / DSM 2366 / CIP 104194 / JCM 7457 / NBRC 12017 / NCIMB 9290 / NRRL B-14731 / HIM 762-3)",,2009-Dec-16,4249,485917,B
TERTT,"Teredinibacter turnerae  (strain ATCC 39867 / T7901)",,2009-Nov-01,4249,377629,B
EMTOG,"Emticicia oligotrophica  (strain DSM 17448 / GPTSA100-15)",,2013-Aug-19,4251,929562,B
BACCJ,"Bacillus cellulosilyticus  (strain ATCC 21833 / DSM 2522 / FERM P-1141 / JCM 9156 / N-4)",,2013-Oct-03,4251,649639,B
GEOUR,"Geobacter uraniireducens  (strain Rf4)",,2008-Mar-24,4253,351605,B
BACSU,"Bacillus subtilis  (strain 168)",,2014-Mar-24,4254,224308,B
CROS8,"Cronobacter sakazakii  (strain ATCC BAA-894)",,2007-Dec-09,4255,290339,B
SALG2,"Salmonella gallinarum  (strain 287/91 / NCTC 13346)",,2009-Jan-19,4258,550538,B
PLAL2,"Planctopirus limnophila  (strain ATCC 43296 / DSM 3776 / IFAM 1008 / 290)",,2010-Sep-29,4258,521674,B
RUEPO,"Ruegeria pomeroyi  (strain ATCC 700808 / DSM 15171 / DSS-3)",,2014-Jan-25,4269,246200,B
JANSC,"Jannaschia sp.  (strain CCS1)",,2014-Mar-24,4270,290400,B
PSEA6,"Pseudoalteromonas atlantica  (strain T6c / ATCC BAA-1087)",,2006-Nov-21,4271,342610,B
SHEHH,"Shewanella halifaxensis  (strain HAW-EB4)",,2008-May-07,4275,458817,B
RHOS4,"Rhodobacter sphaeroides  (strain ATCC 17023 / 2.4.1 / NCIB 8253 / DSM 158)",,2014-Mar-24,4284,272943,B
MALGO,"Malassezia globosa  (strain ATCC MYA-4612 / CBS 7966)","Dandruff-associated fungus",2019-Jan-22,4286,425265,E
YERPH,"Yersinia pestis  bv. Medievalis (strain Harbin 35)",,2013-Oct-03,4289,547048,B
NATSJ,"Natrinema sp.  (strain J7-2)",,2014-Oct-26,4296,406552,A
AERS4,"Aeromonas salmonicida  (strain A449)",,2007-Jul-08,4302,382245,B
YERP3,"Yersinia pseudotuberculosis  serotype O:1b (strain IP 31758)",,2008-Feb-07,4303,349747,B
SALEP,"Salmonella enteritidis PT4  (strain P125109)",,2009-Jan-19,4303,550537,B
SOLCM,"Solitalea canadensis  (strain ATCC 29591 / DSM 3403 / NBRC 15130 / NCIMB 12057 / USAM 9D)",,2012-Nov-15,4304,929556,B
BACFN,"Bacteroides fragilis  (strain ATCC 25285 / DSM 2151 / JCM 11019 / NCTC 9343)",,2014-Mar-24,4305,272559,B
ECOHS,"Escherichia coli  O9:H4 (strain HS)",,2008-Feb-07,4310,331112,B
ALKPO,"Alkalihalobacillus pseudofirmus  (strain ATCC BAA-2126 / JCM 17055 / OF4)",,2015-Jun-17,4310,398511,B
SALPS,"Salmonella pullorum  (strain RKS5078 / SGSC2294)",,2012-Nov-29,4317,1081093,B
MYCPA,"Mycolicibacterium paratuberculosis  (strain ATCC BAA-968 / K-10)",,2010-Mar-21,4317,262316,B
BACF6,"Bacteroides fragilis  (strain 638R)",,2013-May-28,4318,862962,B
FLASC,"Flavobacterium sp.  (strain CF136)",,2019-Jan-06,4319,1144313,B
ENTBF,"Enterobacteriaceae bacterium  (strain FGI 57)",,2014-Oct-02,4320,693444,B
ROSCS,"Roseiflexus castenholzii  (strain DSM 13941 / HLO8)",,2008-Apr-09,4324,383372,B
MYCSH,"Mycobacterium shimoidei",,2018-Nov-14,4327,29313,B
TRIEI,"Trichodesmium erythraeum  (strain IMS101)",,2006-Nov-21,4327,203124,B
DEIGI,"Deinococcus gobiensis  (strain DSM 21396 / JCM 16679 / CGMCC 1.7299 / I-0)",,2015-Apr-07,4328,745776,B
MYCSD,"Mycolicibacter sinensis  (strain JDM601)",,2014-Oct-02,4332,875328,B
SHEVD,"Shewanella violacea  (strain JCM 10179 / CIP 106290 / LMG 19151 / DSS12)",,2011-Apr-10,4333,637905,B
RIPO1,"Rippkaea orientalis  (strain PCC 8801)",,2011-Mar-21,4335,41431,B
ALTNA,"Alteromonas naphthalenivorans",,2015-Jun-16,4338,715451,B
DESMD,"Desulfosporosinus meridiei  (strain ATCC BAA-275 / DSM 13257 / NCIMB 13706 / S10)",,2014-Oct-02,4340,768704,B
SHESA,"Shewanella sp.  (strain ANA-3)",,2007-Mar-07,4341,94122,B
PHOAA,"Photorhabdus asymbiotica  subsp. asymbiotica (strain ATCC 43949 / 3105-77)",,2009-Dec-16,4343,553480,B
LEPCP,"Leptothrix cholodnii  (strain ATCC 51168 / LMG 8142 / SP-6)",,2008-Jul-13,4343,395495,B
ANADE,"Anaeromyxobacter dehalogenans  (strain 2CP-C)",,2006-May-31,4344,290397,B
SPHJU,"Sphingobium japonicum  (strain DSM 16413 / CCM 7287 / MTCC 6362 / UT26 / NBRC 101211 / UT26S)",,2014-Oct-02,4346,452662,B
POLGS,"Polymorphum gilvum  (strain LMG 25793 / CGMCC 1.9160 / SL003B-26A1)",,2012-Nov-15,4350,991905,B
XANOR,"Xanthomonas oryzae  pv. oryzae (strain KACC10331 / KXO85)",,2014-Mar-24,4352,291331,B
XANAC,"Xanthomonas axonopodis  pv. citri (strain 306)",,2010-Mar-21,4352,190486,B
METPP,"Methylibium petroleiphilum  (strain ATCC BAA-1232 / LMG 22953 / PM1)",,2007-May-03,4355,420662,B
ESCF3,"Escherichia fergusonii  (strain ATCC 35469 / DSM 13698 / CDC 0568-73)",,2013-Aug-19,4363,585054,B
SHEB8,"Shewanella baltica  (strain OS185)",,2007-Dec-09,4365,402882,B
BORPA,"Bordetella parapertussis  (strain 12822 / ATCC BAA-587 / NCTC 13253)",,2010-Mar-21,4369,257311,B
SHEB2,"Shewanella baltica  (strain OS223)",,2009-May-15,4383,407976,B
YERE1,"Yersinia enterocolitica  subsp. palearctica serotype O:3 (strain DSM 13030 / CIP 106945 / Y11)",,2014-Jan-25,4386,930944,B
RHOPS,"Rhodopseudomonas palustris  (strain BisB5)",,2006-Sep-25,4388,316057,B
ALCDB,"Alcanivorax dieselolei  (strain DSM 16502 / CGMCC 1.3690 / B-5)",,2013-Oct-03,4388,930169,B
