,genus_and_species,taxonomy_id,strain,superkingdom,phylum,class,order,family,genus,assembly_or_accession,Genome_GC,Genome_size,16S_accssion,16S_GC,Tmin,Topt_ave,Topt_low,Topt_high,Tmax,Tmax_Tmin,uniprot_id
222,Burkholderia contaminans,488447,LMG23361,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,GCA_001029145.1,66.4,8.5,NR_104978,55.3,30.0,37.0,,,42.0,12.0,UP001062523
223,Clostridium diolis,223919,SH1,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,GCA_008705175.1,,5.9,NR_025542,53.0,25.0,37.0,,,42.0,17.0,UP000325212
224,Burkholderia oklahomensis,342113,C6786,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,GCA_000959365.1,67.1,7.1,NR_043552,55.2,25.0,37.0,,,42.0,17.0,UP000662210
225,Burkholderia mallei,13373,ATCC 23344,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,GCA_002346085.1,,5.7,AH004174,51.5,15.0,37.0,,,42.0,27.0,UP000282044
226,Campylobacter lanienae,75658,LMG21527,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,GCA_002139935.1,34.6,1.6,AF043425,48.7,37.0,37.0,,,42.0,5.0,UP000321147
227,Lachnoclostridium phytofermentans,66219,ISDg,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnoclostridium,GCA_000018685.1,35.3,4.8,AF020431,50.8,15.0,37.0,,,42.0,27.0,UP000262969
228,Pistricoccus aurantiacus,1883414,SS9,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Pistricoccus,GCA_007954585.1,60.1,3.8,KT072749,57.6,4.0,33.0,,,42.0,38.0,UP000321272
229,Altererythrobacter marensis,543877,MSW-14 ,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,Altererythrobacter,GCA_001028625.1,64.7,2.9,FM177586,53.9,4.0,30.0,,,42.0,38.0,UP000249588
230,Pelagibacterium halotolerans,531813,B2,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Pelagibacterium,GCA_000230555.1,61.4,3.9,EU709017,54.5,10.0,30.0,,,42.0,32.0,UP000502160
231,Lysobacter soli,453783,DCY21,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Lysobacter,GCA_009755585.1,67.6,4.1,EF623862,55.5,4.0,30.0,,,42.0,38.0,UP000424027
232,Dyella thiooxydans,445710,ATSB10,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Dyella,GCA_001641285.1,68.0,4.2,EF397574,56.2,4.0,30.0,,,42.0,38.0,UP000077255
233,Pandoraea thiooxydans,445709,ATSB16,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Pandoraea,GCA_001931675.1,63.2,4.5,EF397578,54.6,4.0,30.0,,,42.0,38.0,UP000185484
234,Sphingobacterium daejeonense,371142,TR6-04,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Sphingobacterium,GCA_901472535.1,37.3,4.7,AB249372,55.0,15.0,30.0,,,42.0,27.0,UP000307775
235,Oceanobacillus iheyensis,182710,HTE831,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Oceanobacillus,GCA_000011245.1,35.7,3.6,AB010863,52.9,15.0,30.0,,,42.0,27.0,UP000240613
236,Streptococcus ferus,1345,8S1,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,GCA_900475025.1,42.8,1.9,AJ420197,53.1,25.0,39.5,37.0,42.0,42.0,17.0,UP000249495
237,Corynebacterium suranareeae,2506452,N24,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,GCA_002355155.1,51.8,3.5,MK395364,56.7,9.0,33.5,30.0,37.0,42.0,33.0,UP000218244
238,Mucilaginibacter ginsenosidivorax,862126,KHI28,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Mucilaginibacter,GCA_007971525.1,43.1,7.8,HM204914,51.4,10.0,33.5,30.0,37.0,42.0,32.0,UP000321362
239,Halomonas titanicae,664683,BH1,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,GCA_006542315.2,54.6,5.3,FN433898,55.7,4.0,33.5,30.0,37.0,42.0,38.0,UP000509761
240,Pseudomonas entomophila,312306,L48,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,GCA_000026105.1,64.2,5.9,AY907566,53.9,4.0,33.5,30.0,37.0,42.0,38.0,UP000680853
241,Erythrobacter flavus,192812,SW-46,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,Erythrobacter,GCA_002237615.1,63.3,3.2,AF500004,54.0,10.0,33.5,30.0,37.0,42.0,32.0,UP000831670
242,Novosphingobium ginsenosidimutans,1176536,FW-6,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium,GCA_007954425.1,64.3,3.1,JQ349046,55.0,10.0,31.0,25.0,37.0,42.0,32.0,UP000321172
243,Geobacter anodireducens,1340425,SD-1,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Geobacteraceae,Geobacter,GCA_001628815.1,61.5,3.7,KF006333,56.1,15.0,32.5,30.0,35.0,42.0,27.0,UP000618926
244,Myroides profundi,480520,D-25,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Myroides,GCA_000833025.1,33.8,4.1,EU204978,49.4,8.0,32.5,30.0,35.0,42.0,34.0,UP000183496
245,Stenotrophomonas acidaminiphila,128780,AMX 19,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,GCA_001314305.1,68.5,4.1,AF273080,55.5,20.0,32.5,30.0,35.0,42.0,22.0,UP000664139
246,Woeseia oceani,1548547,XK5,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Woeseiaceae,Woeseia,GCA_001677435.1,57.8,4.1,KM034745,54.9,8.0,30.0,25.0,35.0,42.0,34.0,UP000092695
247,Oblitimonas alkaliphila,1697053,B4199,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Oblitimonas,GCA_001267175.1,47.4,2.5,KP986583,52.8,10.0,27.5,20.0,35.0,42.0,32.0,UP000069103
248,Niabella ginsenosidivorans,1176587,BS26,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Niabella,GCA_001654455.1,44.5,5.6,JQ349050,52.1,18.0,27.5,25.0,30.0,42.0,24.0,UP000077667
249,Klebsiella quasipneumoniae,1463165,01A030 ,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,GCA_001596075.2,57.8,5.5,HG933296,54.7,11.0,37.0,,,41.0,30.0,UP001082857
250,Raoultella electrica,1259973, 1GB,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Raoultella,GCA_006711645.1,55.0,5.8,AB762091,53.9,10.0,37.0,,,41.0,31.0,UP000319553
251,Acidihalobacter prosperus,160660,DSM5130,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Ectothiorhodospiraceae,Acidihalobacter,GCA_001753245.1,59.9,3.6,CP017448,55.8,23.0,37.0,,,41.0,18.0,UP000029273
252,Microbulbifer hydrolyticus,48074,IRE-31,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Microbulbiferaceae,Microbulbifer,GCA_009931115.1,57.6,4.2,U58338,53.6,10.0,37.0,,,41.0,31.0,UP000563601
253,Acholeplasma laidlawii,2148,PG8 ,Bacteria,Tenericutes,Mollicutes,Acholeplasmatales,Acholeplasmataceae,Acholeplasma,GCA_000018785.1,31.9,1.5,U14905,48.7,20.0,37.0,,,41.0,21.0,UP000599354
254,Vagococcus teuberi,519472,CG-21,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Vagococcus,GCA_001870205.1,34.1,2.2,EU489723,52.4,10.0,37.0,,,41.0,31.0,UP000191200
255,Spiroplasma litorale,216942,TN-1,Bacteria,Tenericutes,Mollicutes,Entomoplasmatales,Spiroplasmataceae,Spiroplasma,GCA_001267155.1,,1.2,AY189306,50.0,10.0,32.0,,,41.0,31.0,UP000067476
256,Thalassospira indica,1891279,PB8B,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Thalassospira,GCA_003403095.1,54.9,4.7,EU440798,55.0,10.0,28.0,,,41.0,31.0,UP000256971
257,Celeribacter indicus,1208324,P73,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Celeribacter,GCA_000819565.1,65.7,5.0,EU440950,55.6,10.0,28.0,,,41.0,31.0,UP000183914
258,Mycobacterium intracellulare,1767,DSM 44049,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,GCA_000277125.1,,5.4,X67847,58.5,22.0,34.0,31.0,37.0,41.0,19.0,UP000787563
259,Rhizobium pusense,648995,NRCPB10,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium,GCA_005221365.1,59.2,5.0,FJ969841,54.7,16.0,29.0,28.0,30.0,41.0,25.0,UP001063304
260,Nitrospira moscoviensis,42253,M-1 ,Bacteria,Nitrospirae,Nitrospira,Nitrospirales,Nitrospiraceae,Nitrospira,GCA_001273775.1,62.0,4.6,X82558,57.8,33.0,39.0,,,40.0,7.0,UP000069205
261,Spiribacter roseus,1855875,SSL50,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Ectothiorhodospiraceae,Spiribacter,GCA_002813635.1,66.1,1.9,LT578364,57.1,15.0,37.0,,,40.0,25.0,UP000322141
262,Faecalibaculum rodentium,1702221,ALO17,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Faecalibaculum,GCA_001564455.1,54.0,2.5,KP881689,56.1,25.0,37.0,,,40.0,15.0,UP000186758
263,Megasphaera hexanoica,1675036,MH,Bacteria,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,GCA_003315775.1,49.0,2.9,KX021300,55.7,30.0,37.0,,,40.0,10.0,UP000252025
264,Erysipelothrix larvae,1514105,LV19,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Erysipelothrix,GCA_001545095.1,37.4,2.5,KJ670316,50.8,20.0,37.0,,,40.0,20.0,UP000063781
265,Spiribacter curvatus,1335757,UAH-SP71,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Ectothiorhodospiraceae,Spiribacter,GCA_000485905.1,63.9,1.9,NR_145887,56.9,5.0,37.0,,,40.0,35.0,UP000017640
266,Spiribacter salinus,1335746,M19-40 ,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Ectothiorhodospiraceae,Spiribacter,GCA_000319575.2,62.7,1.7,NR_103952,57.1,15.0,37.0,,,40.0,25.0,UP000315400
267,Gemmatirosa kalamazoonesis,861299,KBS708,Bacteria,Gemmatimonadetes,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Gemmatirosa,GCA_000522985.1,72.6,7.5,HM154525,61.7,20.0,37.0,,,40.0,20.0,UP000019151
268,Olleya aquimaris,639310,L-4,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Olleya,GCA_003410315.1,31.2,3.5,FJ886713,49.2,4.0,37.0,,,40.0,36.0,UP000260427
269,Azospirillum thiophilum,528244,BV-S,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Azospirillum,GCA_001305595.1,68.2,7.6,EU678791,57.8,15.0,37.0,,,40.0,25.0,UP000069935
270,Yangia pacifica,311180,DX5-10,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Yangia,GCA_003111685.1,66.5,5.2,AJ877265,55.3,22.0,37.0,,,40.0,18.0,UP000198777
271,Nitratifractor salsuginis,269261,E9I37-1,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,,Nitratifractor,GCA_000186245.1,53.9,2.1,AB175500,55.7,28.0,37.0,,,40.0,12.0,UP000885722
272,Clostridium ljungdahlii,1538,PETC,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,GCA_000143685.1,31.1,4.6,M59097,49.4,30.0,37.0,,,40.0,10.0,UP000077407
273,Capnocytophaga endodontalis,2708117,ChDC OS43,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Capnocytophaga,GCA_002209445.1,38.2,3.4,NR_165677,50.9,30.0,35.0,,,40.0,10.0,UP000197007
274,Salicibibacter halophilus,2502791,NKC3-5,Bacteria,Actinobacteria,Actinobacteria,Glycomycetales,Glycomycetaceae,Salilacibacter,GCA_006740705.1,45.9,3.8,NR_165670,58.3,25.0,35.0,,,40.0,15.0,UP000319756
275,Fabibacter pacificus,1267423,DY53,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Flammeovirgaceae,Fabibacter,GCA_005166025.1,36.1,4.7,KC005305,51.0,15.0,35.0,,,40.0,25.0,UP000279687
276,Altererythrobacter ishigakiensis,476157,JPCCMB0017,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,Altererythrobacter,GCA_001663155.1,56.9,2.7,AB363004,54.1,25.0,35.0,,,40.0,15.0,UP000320547
277,Acetobacter senegalensis,446692,CWBI-B418,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Acetobacter,GCA_001499615.1,54.5,4.0,AY883036,54.7,28.0,35.0,,,40.0,12.0,UP000482417
278,Altererythrobacter epoxidivorans,361183,SW-109,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,Altererythrobacter,GCA_001281485.1,61.5,2.8,DQ304436,54.4,20.0,35.0,,,40.0,20.0,UP000057938
279,Delftia tsuruhatensis,180282,T7,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Delftia,GCA_001753225.1,66.3,7.2,AB075017,54.9,10.0,35.0,,,40.0,30.0,UP000836100
280,Aeromicrobium erythreum,2041,NRRL B-3381,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Nocardioidaceae,Aeromicrobium,GCA_001509405.1,72.1,3.6,AF005021,58.8,21.0,35.0,,,40.0,19.0,UP000067689
281,Thiohalobacter thiocyanaticus,585455,HRh1,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,,Thiohalobacter,GCA_002356355.1,64.3,3.2,FJ482231,56.2,20.0,32.0,,,40.0,20.0,UP000287798
282,Carnobacterium maltaromaticum,2751,ATCC 27865,Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Carnobacterium,GCA_000317975.2,34.5,3.7,M58825,52.0,0.0,30.0,,,40.0,40.0,UP000772935
283,Microbacterium wangchenii,2541726,dk512,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Microbacterium,GCA_004564355.1,70.6,3.8,MH790143,55.8,10.0,30.0,,,40.0,30.0,UP000321731
284,Bacillus albus,2026189,N35-10-2,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,GCA_009740005.1,35.3,5.9,KJ812440,53.4,15.0,30.0,,,40.0,25.0,UP000764695
285,Gramella salexigens,1913577,LPB0144,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Gramella,GCA_001889005.1,38.2,3.0,KX066854,51.3,4.0,30.0,,,40.0,36.0,UP000182510
286,Bacillus wiedmannii,1890302,FSL W8-0169,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,GCA_008807735.1,35.4,5.6,KU198626,53.4,20.0,30.0,,,40.0,20.0,UP000830310
287,Rhizorhabdus dicambivorans,1850238,Ndbn-20,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Rhizorhabdus,GCA_002355275.1,65.3,5.5,KP064570,54.6,15.0,30.0,,,40.0,25.0,UP000218630
288,Egicoccus halophilus,1670830,EGI 80432,Bacteria,Actinobacteria,Nitriliruptoria,Egicoccales,Egicoccaceae,Egicoccus,GCA_004300825.1,72.6,4.0,KR605110,58.8,20.0,30.0,,,40.0,20.0,UP000650511
289,Lysobacter maris,1605891,KMU-14,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Lysobacter,GCA_003233695.1,69.0,4.0,LC021525,55.7,20.0,30.0,,,40.0,20.0,UP000320431
290,Leisingera aquaemixtae,1396826,SSK6-1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Leisingera,GCA_006740765.1,64.5,4.4,KF554505,55.6,10.0,30.0,,,40.0,30.0,UP001059051
291,Rhizobium flavum,1335061,YW14,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium,GCA_902502825.1,61.5,4.7,KC904963,55.8,10.0,30.0,,,40.0,30.0,UP000535501
292,Flavobacterium commune,1306519,PK15,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,GCA_001857965.1,34.4,3.9,KC355351,50.9,4.0,30.0,,,40.0,36.0,UP000178198
293,Photobacterium gaetbulicola,1295392,Gung47,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Photobacterium,GCA_000940995.1,49.7,5.9,GQ260188,54.6,10.0,30.0,,,40.0,30.0,UP000241617
294,Gordonia phthalatica,1136941,QH-11,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Gordoniaceae,Gordonia,GCA_001305675.1,68.0,4.4,JN641798,57.8,15.0,30.0,,,40.0,25.0,UP000063789
295,Alcanivorax xenomutans,1094342,JC109,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Alcanivoracaceae,Alcanivorax,GCA_002072815.1,61.5,4.7,HE601937,56.1,25.0,30.0,,,40.0,15.0,UP001107980
296,Gordonia iterans,1004901, IFM 10348,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Gordoniaceae,Gordonia,GCA_002993285.1,69.0,4.0,AB624257,57.1,15.0,30.0,,,40.0,25.0,UP000239814
297,Kangiella geojedonensis,914150,YCS-5,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Kangiellaceae,Kangiella,GCA_000981765.1,43.8,2.5,HQ340606,52.4,10.0,30.0,,,40.0,30.0,UP000034071
298,Bacillus kochii,859143,WCC 4582,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,GCA_002276165.1,36.8,4.7,FN995265,53.5,10.0,30.0,,,40.0,30.0,UP000215137
299,Serinicoccus chungangensis,767452,CAU 9536,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Intrasporangiaceae,Serinicoccus,GCA_006337125.1,73.1,3.5,HM068886,58.4,20.0,30.0,,,40.0,20.0,UP000054837
300,Methylomonas koyamae,702114,Fw12E-Y,Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,Methylococcaceae,Methylomonas,GCA_002441955.1,56.2,5.1,AB538964,52.9,10.0,30.0,,,40.0,30.0,UP000825043
301,Acinetobacter soli,487316,B1,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,GCA_001953195.1,42.8,3.6,EU290155,52.7,10.0,30.0,,,40.0,30.0,UP000670786
302,Sulfurospirillum cavolei,366522,Phe91,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Sulfurospirillum,GCA_001548055.1,43.9,2.7,AB246781,49.7,20.0,30.0,,,40.0,20.0,UP000231638
303,Alkalilimnicola ehrlichii,351052,MLHE-1 ,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Ectothiorhodospiraceae,Alkalilimnicola,GCA_000014785.1,67.5,3.3,AF406554,57.7,13.0,30.0,,,40.0,27.0,UP000256386
304,Spiroplasma eriocheiris,315358,TDA-040725-5,Bacteria,Tenericutes,Mollicutes,Entomoplasmatales,Spiroplasmataceae,Spiroplasma,GCA_001029265.1,29.8,1.4,DQ917753,50.4,20.0,30.0,,,40.0,20.0,UP000035661
305,Tistrella mobilis,171437,IAM 14872,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Tistrella,GCA_000264455.2,,6.5,AB071665,56.6,20.0,30.0,,,40.0,20.0,UP000257706
306,Staphylococcus nepalensis,214473,CW1,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,GCA_002442935.1,33.1,3.0,AJ517414,51.0,20.0,30.0,,,40.0,20.0,UP001066915
307,Halomonas hydrothermalis,115561,Slthf2,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,GCA_002442575.1,60.2,3.9,AF212218,55.8,2.0,30.0,,,40.0,38.0,UP000217920
308,Paenibacillus terrae,159743,AM141,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,GCA_000235585.1,46.8,6.1,AF391124,55.3,10.0,30.0,,,40.0,30.0,UP000308114
309,Bacillus lentus,1467,ATCC 10840,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,GCA_900478165.1,36.7,4.4,AB021189,54.8,10.0,30.0,,,40.0,30.0,UP000249134
310,Lactobacillus acetotolerans,1600,ATCC 43578,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,GCA_001042405.1,36.7,1.7,M58801,51.3,23.0,30.0,,,40.0,17.0,UP000502583
311,Streptomyces spongiicola,1690221,HNM0071,Bacteria,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,GCA_003122365.1,72.4,7.2,KT327868,59.8,20.0,28.0,,,40.0,20.0,UP000265354
312,Kocuria rhizophila,72000,DSM11926,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Kocuria,GCA_000010285.1,71.2,2.7,Y16263,57.1,10.0,28.0,,,40.0,30.0,UP000789427
313,Staphylococcus succinus,61015,AMG‐D1,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,GCA_001902315.1,33.1,2.7,AF004220,51.3,25.0,28.0,,,40.0,15.0,UP000703179
314,Ketobacter alkanivorans,1917421,GI5,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Alcanivoracaceae,Ketobacter,GCA_002863865.1,51.2,4.9,KY303768,54.4,18.0,25.0,,,40.0,22.0,UP000235116
315,Silicimonas algicola,1826607,KC90B,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Silicimonas,GCA_003970735.1,65.3,4.4,KU926270,55.3,10.0,25.0,,,40.0,30.0,UP000280757
316,Flavobacterium arcticum,1784713,SM1502,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,GCA_003344925.1,35.0,3.0,KU529277,50.0,10.0,25.0,,,40.0,30.0,UP000253951
317,Pelagibaca abyssi,1250539,JLT2014,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Pelagibaca,GCA_001975705.1,65.7,5.3,JX878396,55.4,4.0,25.0,,,40.0,36.0,UP000664557
318,Sulfurimonas autotrophica,202747,OK10,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Sulfurimonas,GCA_000147355.1,35.2,2.2,AB088431,50.3,10.0,25.0,,,40.0,30.0,UP000650762
319,Thalassospira xiamenensis,220697,M-5,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Thalassospira,GCA_000300235.2,54.7,4.8,AY189753,54.9,4.0,22.0,,,40.0,36.0,UP000252339
320,Lysobacter gummosus,262324,UASM 402,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Lysobacter,GCA_001442805.1,66.5,6.1,NR_041005,55.5,10.0,20.0,,,40.0,30.0,UP000829194
321,Geovibrio thiophilus,139438,AAFu3,Bacteria,Deferribacteres,Deferribacteres,Deferribacterales,Deferribacteraceae,Geovibrio,GCA_004087915.1,48.1,3.0,AJ299402,53.8,4.0,38.5,37.0,40.0,40.0,36.0,UP000287502
322,Lactococcus petauri,1940789,159469,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,GCA_009662295.1,38.2,2.0,KY548925,51.9,6.0,30.0,20.0,40.0,40.0,34.0,UP001057297
323,Alkalitalea saponilacus,889453,SC/BZ-SP2,Bacteria,Bacteroidetes,Bacteroidia,Marinilabiliales,Marinilabiliaceae,Alkalitalea,GCA_002201795.1,,4.8,HQ191474,51.9,8.0,36.0,35.0,37.0,40.0,32.0,UP000249948
324,Kangiella sediminilitoris,1144748,Mw22,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Kangiellaceae,Kangiella,GCA_001708405.1,43.4,2.5,JQ317935,52.9,10.0,33.5,30.0,37.0,40.0,30.0,UP000094147
325,Arcobacter marinus,505249,CL-S1,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Arcobacter,GCA_003544855.1,27.2,2.9,EU512920,48.1,10.0,33.5,30.0,37.0,40.0,30.0,UP000239861
326,Kosakonia oryzae,497725,Ola 51 ,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Kosakonia,GCA_001658025.1,54.0,5.3,EF488759,55.6,10.0,32.5,28.0,37.0,40.0,30.0,UP000078227
327,Hypericibacter adhaerens,2602016,R5959,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,,GCA_008728835.1,67.4,5.9,MH450230,57.5,24.0,34.5,33.0,36.0,40.0,16.0,UP000325797
328,Pseudodesulfovibrio indicus,1716143,J2,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Pseudodesulfovibrio,GCA_001563225.1,63.5,4.0,KT750867,54.8,9.0,32.5,30.0,35.0,40.0,31.0,UP000295506
329,Paenibacillus bovis,1616788,BD3526,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,GCA_001421015.2,47.2,5.5,KM978955,54.3,10.0,32.5,30.0,35.0,40.0,30.0,UP000078148
330,Aneurinibacillus soli,1500254,CB4,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Aneurinibacillus,GCA_002355375.1,45.9,4.1,KJ739787,56.5,20.0,32.5,30.0,35.0,40.0,20.0,UP000247363
331,Maritalea myrionectae,454601,CL-SK30,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Maritalea,GCA_003433515.1,52.4,3.7,EF988631,54.3,10.0,32.5,30.0,35.0,40.0,30.0,UP000258927
332,Ureaplasma urealyticum,2130,T960,Bacteria,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Ureaplasma,GCA_000021265.1,25.8,0.9,M23935,45.6,20.0,32.5,30.0,35.0,40.0,20.0,UP000318231
