,Cellular component,Molecular function,Ligand,Biological process,PTM,no_keywords,Technical term,Domain
600630,,DNA-binding,,,,,Reference proteome,
600643,,,,,,,Reference proteome,
600656,,,,,,,Reference proteome,
600743,,,,,,,Reference proteome,
600807,,Ribosomal protein,,,,,Reference proteome,
600879,,DNA-binding,Nucleotide-binding,Transcription regulation,,,Reference proteome,
601160,,Ribosomal protein,,,,,Reference proteome,
601206,,,Zinc,,,,Reference proteome,Zinc-finger
601342,DNA-directed RNA polymerase,Transferase,,Transcription,,,Reference proteome,
601448,,DNA-binding,,,Phosphoprotein,,Reference proteome,
601494,,Topoisomerase,Nucleotide-binding,,,,,
601501,,Lyase,Zinc,Thiamine biosynthesis,,,,
601521,Cytoplasm,Transferase,Metal-binding,,,,,
601554,,RNA-binding,Nucleotide-binding,Transcription termination,,,,
601555,Cytoplasm,Sigma factor,,Transcription regulation,,,,Coiled coil
601562,DNA-directed RNA polymerase,Transferase,Zinc,Transcription,,,,
601574,Cytoplasm,Excision nuclease,Nucleotide-binding,SOS response,,,,Coiled coil
601580,DNA-directed RNA polymerase,Transferase,,Transcription,,,,Coiled coil
601620,Membrane,Protease,Zinc,Cell division,,,,Transmembrane helix
601630,Cytoplasm,tRNA-binding,Nucleotide-binding,Translation regulation,,,,Repeat
601635,Cytoplasm,Ligase,Nucleotide-binding,Protein biosynthesis,,,,
601646,Membrane,Translocase,Nucleotide-binding,Transport,,,,
601673,Cytoplasm,Topoisomerase,Nucleotide-binding,,,,,
601674,Cytoplasm,tRNA-binding,Zinc,Protein biosynthesis,,,,
601689,Cytoplasm,tRNA-binding,Nucleotide-binding,Ribosome biogenesis,,,,
601720,,Ribosomal protein,,,,,,
601722,,rRNA-binding,,,,,,
601724,,rRNA-binding,,,,,,
601765,,tRNA-binding,,,,,,
601770,Cytoplasm,Repressor,Zinc,Transcription regulation,,,,
601772,Cytoplasm,Initiation factor,,Protein biosynthesis,,,,
601795,,rRNA-binding,,,,,,
601797,,tRNA-binding,,,,,,
601799,Cytoplasm,Elongation factor,Nucleotide-binding,Protein biosynthesis,,,,
601800,,tRNA-binding,,,,,,
601802,Cytoplasm,RNA-binding,,Transcription termination,,,,
601820,,rRNA-binding,,,Methylation,,,
601833,Cytoplasm,,Nucleotide-binding,Protein biosynthesis,,,,
601835,,Oxidoreductase,,Deoxyribonucleotide synthesis,,,,
601852,Cytoplasm,Ligase,Nucleotide-binding,Protein biosynthesis,,,,
601880,,Ribosomal protein,,,,,,
601921,,Ribosomal protein,,,,,,
601923,Cytoplasm,Chaperone,Nucleotide-binding,Stress response,,,,Repeat
601931,Cytoplasm,,,Lipid metabolism,Phosphoprotein,,,
601951,,rRNA-binding,,,,,,
601954,,RNA-binding,,,,,,Repeat
601992,Signal recognition particle,RNA-binding,Nucleotide-binding,,,,,
602017,Cytoplasm,,,Protein biosynthesis,Methylation,,,
602022,,Ribosomal protein,,,,,,
602024,,rRNA-binding,,,,,,
602040,Cytoplasm,DNA-binding,,Transcription regulation,,,,
602079,,Chaperone,Nucleotide-binding,Stress response,Phosphoprotein,,,
602085,Cytoplasm,rRNA-binding,,Protein biosynthesis,,,,
602114,,Ribosomal protein,,,,,,
602164,Cytoplasm,Chaperone,,,,,,
602207,Cytoplasm,RNA-binding,,,,,,
602211,,Oxidoreductase,Pyridoxal phosphate,,,,,
602226,,rRNA-binding,,,,,,
602227,,rRNA-binding,,,,,,
602242,Cytoplasm,Elongation factor,Nucleotide-binding,Protein biosynthesis,,,,
602245,,rRNA-binding,,,,,,
602494,,,,,,True,,
602693,,,Nucleotide-binding,,,,,
602966,,,,,,True,,
603105,,Lyase,Pyridoxal phosphate,,,,,
603109,,DNA-binding,,,,,,
603179,,Ribosomal protein,,,,,,
603238,,Protease,Nucleotide-binding,,,,,Repeat
603398,,,,,,True,,
603436,,,,,,True,,
603690,,,Nucleotide-binding,,,,,
603729,,Ribosomal protein,,,,,,
603740,,Ribosomal protein,,,,,,
603781,,DNA-binding,,,Phosphoprotein,,,
604046,,,,Transport,,,,
604204,,,,,Phosphoprotein,,,
604389,,DNA-binding,,,,,,
604581,Flagellum,,,,,,,
604678,,,,,,True,,
605084,Membrane,,,,,,,Transmembrane helix
605226,DNA-directed RNA polymerase,Transferase,,Transcription,,,,
605247,Cytoplasm,Excision nuclease,Nucleotide-binding,SOS response,,,,
605268,DNA-directed RNA polymerase,Transferase,,Transcription,,,,Coiled coil
605289,Membrane,Translocase,Nucleotide-binding,Transport,,,,
605428,,RNA-binding,Nucleotide-binding,Transcription termination,,,,
605478,,tRNA-binding,,,,,,
605487,,Ribosomal protein,,,,,,
605488,,tRNA-binding,,,,,,
605490,,rRNA-binding,,,,,,
605494,,rRNA-binding,,,,,,
605498,,Ribosomal protein,,,,,,
605539,,Hydrolase,Nucleotide-binding,,,,,
605584,,rRNA-binding,,,,,,
605592,,tRNA-binding,,,,,,
605636,,DNA-binding,,Translation regulation,,,,
605637,,rRNA-binding,,,,,,
605640,,Ribosomal protein,,,,,,
605747,,Ribosomal protein,,,,,,
605792,Cytoplasm,,,Lipid metabolism,Phosphoprotein,,,
605885,,Chaperone,Nucleotide-binding,Stress response,Phosphoprotein,,,Coiled coil
605940,,rRNA-binding,,,,,,
605971,,Oxidoreductase,Flavoprotein,,,,,
606005,,rRNA-binding,,,,,,
606033,,tRNA-binding,,,,,,
606057,Cytoplasm,rRNA-binding,,Protein biosynthesis,,,,
606243,,,,Transport,,,,
606270,,,Nucleotide-binding,,,,,
606327,Membrane,,,,,,,Transmembrane helix
606763,,,Nucleotide-binding,,,,,
607035,,Protease,Nucleotide-binding,,,,,Repeat
608119,,,,,Phosphoprotein,,,
608197,,,Nucleotide-binding,,,,,
608451,Membrane,,,,,,,Transmembrane helix
608754,Membrane,,,,,,,Transmembrane helix
609066,,,Nucleotide-binding,,,,,
609242,,,,Transport,,,,
609570,,Ribosomal protein,,,,,,
609658,,Ribosomal protein,,,,,,
609830,,,,,,True,,
610280,,Lyase,Metal-binding,Leucine biosynthesis,,,Reference proteome,
610321,Cytoplasm,Excision nuclease,Nucleotide-binding,SOS response,,,Reference proteome,Coiled coil
610322,Cytoplasm,,Nucleotide-binding,Septation,,,Reference proteome,
610439,,Ribosomal protein,,,,,Reference proteome,
610487,Cytoplasm,DNA-binding,Nucleotide-binding,SOS response,,,Reference proteome,
610495,,Ribosomal protein,,,,,Reference proteome,Coiled coil
610504,Cytoplasm,Transferase,Metal-binding,,,,Reference proteome,
610517,,Ribosomal protein,,,,,Reference proteome,
610583,Cytoplasm,DNA-binding,Metal-binding,Transcription regulation,Disulfide bond,,Reference proteome,
610599,,Oxidoreductase,Nucleotide-binding,DNA synthesis,,,Reference proteome,
610628,,tRNA-binding,,,,,Reference proteome,
610630,,rRNA-binding,,,,,Reference proteome,
610633,,rRNA-binding,,,,,Reference proteome,
610641,,rRNA-binding,,,,,Reference proteome,
610644,,rRNA-binding,,,,,Reference proteome,
610648,,Ribosomal protein,,,,,Reference proteome,
610651,Cytoplasm,Elongation factor,Nucleotide-binding,Protein biosynthesis,,,Reference proteome,
610655,,Ribosomal protein,,,,,Reference proteome,
610657,,tRNA-binding,,,,,Reference proteome,
610669,Cytoplasm,DNA-binding,Metal-binding,Transcription regulation,Disulfide bond,,Reference proteome,
610677,Cytoplasm,Chaperone,,,,,Reference proteome,
610755,,Ribosomal protein,,,,,Reference proteome,
610824,,Ribosomal protein,,,,,Reference proteome,
610873,,,,,,,Reference proteome,
611147,,Ribosomal protein,,,,,Reference proteome,
611475,,,,,,,Reference proteome,
611726,,,Nucleotide-binding,,,,Reference proteome,Coiled coil
611752,,,,,,,Reference proteome,
611861,,,,,,,Reference proteome,
611914,,Ribosomal protein,,,,,Reference proteome,
612083,,,,,,,Reference proteome,
612314,,,,,,,Reference proteome,
613069,,Isomerase,Metal-binding,,,,Reference proteome,
613186,,Chaperone,Nucleotide-binding,,,,Reference proteome,Repeat
613532,,Lyase,Metal-binding,Leucine biosynthesis,,,Reference proteome,
613602,Cytoplasm,Ligase,Nucleotide-binding,Protein biosynthesis,,,Reference proteome,
613609,Cytoplasm,Excision nuclease,Nucleotide-binding,SOS response,,,Reference proteome,Coiled coil
613670,Cytoplasm,Chaperone,,,,,Reference proteome,
613691,Cytoplasm,Elongation factor,,Protein biosynthesis,,,Reference proteome,
613741,Cytoplasm,DNA-binding,Nucleotide-binding,SOS response,,,Reference proteome,
613776,,Chaperone,Nucleotide-binding,Stress response,Phosphoprotein,,Reference proteome,Coiled coil
613811,Cytoplasm,Elongation factor,Nucleotide-binding,Protein biosynthesis,,,Reference proteome,
613812,,rRNA-binding,,,,,Reference proteome,
613824,,rRNA-binding,,,,,Reference proteome,
613840,Cytoplasm,rRNA-binding,,Protein biosynthesis,,,Reference proteome,
613852,,rRNA-binding,,,,,Reference proteome,
613864,,Ribosomal protein,,,,,Reference proteome,
613959,,Ribosomal protein,,,,,Reference proteome,
613962,,Ribosomal protein,,,,,Reference proteome,
613983,,Protease,Nucleotide-binding,,,,Reference proteome,Repeat
614053,,Ribosomal protein,,,,,Reference proteome,
614054,,tRNA-binding,,,,,Reference proteome,
614058,Cytoplasm,Elongation factor,Nucleotide-binding,Protein biosynthesis,,,Reference proteome,
614059,,Ribosomal protein,,,,,Reference proteome,
614077,,Ribosomal protein,,,,,Reference proteome,
614081,,rRNA-binding,,,,,Reference proteome,
614145,,,,,,,Reference proteome,
614353,,Ribosomal protein,,,,,Reference proteome,
614450,,,,,,,Reference proteome,
614538,,,,,,,Reference proteome,
615688,,Ribosomal protein,,,,,Reference proteome,
615861,,Transferase,Nucleotide-binding,,,,,
616254,Cytoplasm,Hydrolase,NAD,One-carbon metabolism,,,,
616524,,tRNA-binding,,,,,,
620365,,,,,,True,,
622036,,Elongation factor,Nucleotide-binding,Protein biosynthesis,,,,
624336,Cytoplasm,Serine protease,Nucleotide-binding,Stress response,,,Reference proteome,Coiled coil
624358,Cytoplasm,Transferase,Metal-binding,,,,Reference proteome,
624360,Membrane,Translocase,Ubiquinone,,Quinone,,Reference proteome,Repeat
624362,Cytoplasm,Chaperone,Zinc,Stress response,,,Reference proteome,Zinc-finger
624394,,Topoisomerase,Nucleotide-binding,,,,Reference proteome,
624400,Membrane,Protease,Zinc,Cell division,,,Reference proteome,Transmembrane helix
624424,,RNA-binding,Metal-binding,Tricarboxylic acid cycle,,,Reference proteome,
624437,Cytoplasm,Excision nuclease,Nucleotide-binding,SOS response,,,Reference proteome,Coiled coil
624512,,Lyase,Metal-binding,Leucine biosynthesis,,,Reference proteome,
624513,DNA-directed RNA polymerase,Transferase,Zinc,Transcription,,,Reference proteome,
624551,,tRNA-binding,,,,,Reference proteome,
624552,,rRNA-binding,,,,,Reference proteome,
624554,,rRNA-binding,,,,,Reference proteome,
624558,Cytoplasm,Elongation factor,Nucleotide-binding,Protein biosynthesis,,,Reference proteome,
624559,,tRNA-binding,,,,,Reference proteome,
624561,,rRNA-binding,,,,,Reference proteome,
624582,,Ribosomal protein,,,,,Reference proteome,
624585,Cytoplasm,Elongation factor,Nucleotide-binding,Protein biosynthesis,,,Reference proteome,
624594,,Ribosomal protein,,,,,Reference proteome,
624648,,Chaperone,Nucleotide-binding,Stress response,Phosphoprotein,,Reference proteome,
624710,,rRNA-binding,,,,,Reference proteome,
624715,,Ribosomal protein,,,,,Reference proteome,
624752,Cytoplasm,Chaperone,,,,,Reference proteome,
624877,Cytoplasm,Chaperone,Nucleotide-binding,Stress response,,,Reference proteome,Repeat
624911,,Oxidoreductase,Metal-binding,Isoprene biosynthesis,,,Reference proteome,
624966,,Ribosomal protein,,,,,Reference proteome,
624975,,Ribosomal protein,,,,,Reference proteome,
624983,,,,,,,Reference proteome,
625022,,tRNA-binding,,,,,Reference proteome,
625036,,rRNA-binding,,,,,Reference proteome,
625045,,rRNA-binding,,,Methylation,,Reference proteome,
625063,,Ribosomal protein,,,,,Reference proteome,
625076,Cytoplasm,Hydrolase,NAD,One-carbon metabolism,,,Reference proteome,
625088,,rRNA-binding,,,,,Reference proteome,
625091,DNA-directed RNA polymerase,Transferase,,Transcription,,,Reference proteome,
625186,,,,,Phosphoprotein,,Reference proteome,
625565,,Oxidoreductase,Metal-binding,Glutamate biosynthesis,,,Reference proteome,Glutamine amidotransferase
625641,,Ribosomal protein,,,,,Reference proteome,
626094,,Ribosomal protein,,,,,Reference proteome,
626216,,DNA-binding,,,,,Reference proteome,
626402,,,,Transport,,,Reference proteome,
626445,,Transferase,,,,,Reference proteome,
626694,,Protease,Nucleotide-binding,,,,Reference proteome,Repeat
627222,,Transferase,,,,,Reference proteome,
627418,,Ribosomal protein,,,,,Reference proteome,
627521,,Ribosomal protein,,,,,Reference proteome,
628037,Cytoplasm,Excision nuclease,Nucleotide-binding,SOS response,,,Reference proteome,Coiled coil
628047,Membrane,Translocase,Nucleotide-binding,Transport,,,Reference proteome,
628113,Cytoplasm,Excision nuclease,Zinc,SOS response,,,Reference proteome,Zinc-finger
628118,DNA-directed RNA polymerase,Transferase,,Transcription,,,Reference proteome,Coiled coil
628182,,Peroxidase,Metal-binding,Hydrogen peroxide,,,Reference proteome,
628202,,Lyase,Zinc,Thiamine biosynthesis,,,Reference proteome,
628205,DNA-directed RNA polymerase,Transferase,,Transcription,,,Reference proteome,
628234,,RNA-binding,Nucleotide-binding,Transcription termination,,,Reference proteome,
628290,,rRNA-binding,,,,,Reference proteome,
628346,,Hydrolase,Nucleotide-binding,,,,Reference proteome,Coiled coil
628348,,DNA-binding,,Translation regulation,,,Reference proteome,
628488,Cytoplasm,,,Lipid metabolism,Phosphoprotein,,Reference proteome,
628499,,rRNA-binding,,,,,Reference proteome,
628500,,Ribosomal protein,,,,,Reference proteome,
628508,Cytoplasm,rRNA-binding,,Protein biosynthesis,,,Reference proteome,
628520,,tRNA-binding,,,,,Reference proteome,
628521,,tRNA-binding,,,,,Reference proteome,
628560,,tRNA-binding,,,,,Reference proteome,
628563,,rRNA-binding,,,,,Reference proteome,
628566,,Ribosomal protein,,,,,Reference proteome,
628570,,rRNA-binding,,,,,Reference proteome,
628573,Cytoplasm,Elongation factor,Nucleotide-binding,Protein biosynthesis,,,Reference proteome,
628648,,Chaperone,Nucleotide-binding,Stress response,Phosphoprotein,,Reference proteome,Coiled coil
628723,,Ribosomal protein,,,,,Reference proteome,
628769,,rRNA-binding,,,,,Reference proteome,
628808,,tRNA-binding,,,,,Reference proteome,
628809,,rRNA-binding,,,,,Reference proteome,
628833,,Oxidoreductase,Flavoprotein,,,,Reference proteome,
630074,,,,,,,Reference proteome,
630128,,,,,Phosphoprotein,,Reference proteome,
630372,,,,Transport,,,Reference proteome,
631116,,Ribosomal protein,,,,,Reference proteome,
631270,,Ribosomal protein,,,,,Reference proteome,
631420,,,Nucleotide-binding,,,,Reference proteome,
632363,,Lyase,Metal-binding,Leucine biosynthesis,,,Reference proteome,
632370,,Chaperone,Nucleotide-binding,Stress response,Phosphoprotein,,Reference proteome,Coiled coil
632378,DNA-directed RNA polymerase,Transferase,Zinc,Transcription,,,Reference proteome,
632412,Cytoplasm,Transferase,S-adenosyl-L-methionine,tRNA processing,,,Reference proteome,
632480,,tRNA-binding,,,,,Reference proteome,
632481,Cytoplasm,Elongation factor,Nucleotide-binding,Protein biosynthesis,,,Reference proteome,
632484,,rRNA-binding,,,,,Reference proteome,
632512,,Ribosomal protein,,,,,Reference proteome,
632521,,Ribosomal protein,,,,,Reference proteome,
632524,Cytoplasm,Chaperone,,,,,Reference proteome,
632539,DNA-directed RNA polymerase,Transferase,,Transcription,,,Reference proteome,
632540,Cytoplasm,,Nucleotide-binding,Septation,,,Reference proteome,
632685,,rRNA-binding,,,,,Reference proteome,
632714,Cytoplasm,Transferase,Metal-binding,,,,Reference proteome,
632761,,rRNA-binding,,,,,Reference proteome,
632762,Cytoplasm,Elongation factor,Nucleotide-binding,Protein biosynthesis,,,Reference proteome,
632767,,tRNA-binding,,,,,Reference proteome,
632769,,rRNA-binding,,,,,Reference proteome,
632773,,rRNA-binding,,,,,Reference proteome,
632791,Cytoplasm,DNA-binding,Metal-binding,Transcription regulation,Disulfide bond,,Reference proteome,
632809,,rRNA-binding,,,,,Reference proteome,
632820,Cytoplasm,DNA-binding,Nucleotide-binding,SOS response,,,Reference proteome,
632857,,Isomerase,Metal-binding,,,,Reference proteome,
632866,,Ribosomal protein,,,,,Reference proteome,
632877,,Ribosomal protein,,,,,Reference proteome,
632943,,Ribosomal protein,,,,,Reference proteome,
632970,,Ribosomal protein,,,,,Reference proteome,
633004,,Protease,Nucleotide-binding,,,,Reference proteome,Repeat
633486,,,,,,,Reference proteome,
633519,,,,,,,Reference proteome,
634372,,Ribosomal protein,,,,,Reference proteome,
634567,,Ribosomal protein,,,,,Reference proteome,
634828,,,,,,,Reference proteome,
635224,,,,,,,Reference proteome,
635555,Cytoplasm,Excision nuclease,Zinc,SOS response,,,,Zinc-finger
635592,Cytoplasm,tRNA-binding,Zinc,Protein biosynthesis,,,,Coiled coil
635595,Cytoplasm,Excision nuclease,Nucleotide-binding,SOS response,,,,Coiled coil
635598,Cytoplasm,Ligase,Nucleotide-binding,Protein biosynthesis,,,,Coiled coil
635630,,Topoisomerase,Nucleotide-binding,,,,,
635641,,Topoisomerase,Zinc,,,,,Zinc-finger
635651,Cytoplasm,Transferase,Nucleotide-binding,Nucleotide metabolism,Phosphoprotein,,,
635653,Membrane,Translocase,Zinc,Transport,,,,Coiled coil
635657,Cytoplasm,Transferase,NADP,tRNA processing,,,,
635664,Cytoplasm,,Nucleotide-binding,Septation,,,,
635686,Cytoplasm,tRNA-binding,Nucleotide-binding,Ribosome biogenesis,,,,
635688,,Multifunctional enzyme,Nucleotide-binding,,,,,
635696,,RNA-binding,Nucleotide-binding,Transcription termination,,,,
635719,Cytoplasm,Topoisomerase,Nucleotide-binding,,,,,
635722,Cytoplasm,Ligase,Nucleotide-binding,Protein biosynthesis,,,,Coiled coil
635728,DNA-directed RNA polymerase,Transferase,Zinc,Transcription,,,,
635783,,,,,,,,Lipoyl
635808,Cytoplasm,Ligase,Nucleotide-binding,Protein biosynthesis,,,,
635811,,Ribosomal protein,,,,,,
635820,,Ribosomal protein,,,,,,
635821,Cytoplasm,Initiation factor,,Protein biosynthesis,,,,
635830,,Oxidoreductase,Pyridoxal phosphate,,,,,
635852,Membrane,Oxidoreductase,Flavoprotein,Transport,,,,
635865,Cytoplasm,Hydrolase,Nucleotide-binding,,,,,
635897,,Oxidoreductase,Nucleotide-binding,DNA synthesis,,,,
635907,,rRNA-binding,,,,,,
635909,Cytoplasm,Transferase,Metal-binding,,,,,
635918,,rRNA-binding,,,,,,
635924,Membrane,RNA-binding,,,,,,Transmembrane helix
635928,,Chaperone,Nucleotide-binding,Stress response,Phosphoprotein,,,Coiled coil
635934,Cytoplasm,Sigma factor,,Transcription regulation,,,,Coiled coil
635937,,Ribosomal protein,,,,,,
635956,Cytoplasm,,,Protein biosynthesis,Methylation,,,Coiled coil
635976,,rRNA-binding,,,,,,
635986,Signal recognition particle,RNA-binding,Nucleotide-binding,,,,,
635990,Cytoplasm,,,Lipid metabolism,Phosphoprotein,,,
636005,,Ligase,Pyruvate,,,,,
636017,Cytoplasm,,,Transcription regulation,Disulfide bond,,,Redox-active center
636036,,Ribosomal protein,,,,,,
636072,Cytoplasm,,,Protein biosynthesis,Methylation,,,
636125,,Ribosomal protein,,,,,,
636128,,rRNA-binding,,,,,,
636133,,Ribosomal protein,,,,,,
636134,,rRNA-binding,,,,,,
636135,Cytoplasm,DNA-binding,Nucleotide-binding,DNA replication,,,,
636136,,rRNA-binding,,,,,,
636138,,rRNA-binding,,,,,,
636154,Cytoplasm,Elongation factor,Nucleotide-binding,Protein biosynthesis,,,,
636163,,Ribosomal protein,,,,,,
636193,Cytoplasm,Elongation factor,Nucleotide-binding,Protein biosynthesis,,,,
636202,,rRNA-binding,,,,,,
636206,,rRNA-binding,,,,,,
636209,DNA-directed RNA polymerase,Transferase,,Transcription,,,,
636212,,rRNA-binding,,,,,,
636216,,rRNA-binding,,,,,,
636218,,Ribosomal protein,,,,,,
636220,Cytoplasm,rRNA-binding,,Protein biosynthesis,,,,
636239,,rRNA-binding,,,,,,
636254,,tRNA-binding,,,,,,
636285,Cytoplasm,Chaperone,,,,,,
636301,,Rotamase,,,,,,
636469,,,,,,True,,
636734,,,Zinc,,,,,
636770,,Isomerase,Metal-binding,,,,,
636816,,DNA-binding,,Two-component regulatory system,Phosphoprotein,,,
636834,Cytoplasm,,,,,,,
636885,,DNA-binding,,DNA condensation,,,,
636921,,,Metal-binding,Transport,,,,
636929,,,Nucleotide-binding,,,,,
637203,,,,,,True,,
637371,Membrane,,Metal-binding,,,,,Transmembrane helix
637443,,,,,,True,,
637811,,DNA-binding,,Two-component regulatory system,Phosphoprotein,,,
637852,,DNA-binding,,,,,,
637861,,,,Septation,,,,
637881,,DNA-binding,,,,,,Coiled coil
637891,,,,,,True,,
637897,,Ribosomal protein,,,,,,
638091,,Protease,Nucleotide-binding,,,,,Repeat
638311,,,,,,True,,
638603,Membrane,Protease,Zinc,,,,,Transmembrane helix
638628,Cytoplasm,Hydrolase,Zinc,SOS response,,,,Zinc-finger
638630,Cytoplasm,Transferase,Nucleotide-binding,Aromatic amino acid biosynthesis,,,,
638670,,Ligase,Nucleotide-binding,Tricarboxylic acid cycle,,,,
638695,DNA-directed RNA polymerase,Transferase,,Transcription,,,,Coiled coil
638718,,RNA-binding,Nucleotide-binding,Transcription termination,,,,
638722,,Transferase,Nucleotide-binding,,,,,
638750,,Ligase,Nucleotide-binding,Pyrimidine biosynthesis,,,,Repeat
638768,,RNA-binding,Metal-binding,Tricarboxylic acid cycle,,,,
638867,Cytoplasm,Excision nuclease,Nucleotide-binding,SOS response,,,,Coiled coil
638874,,Nuclease,Metal-binding,DNA repair,,,,
638999,Cytoplasm,rRNA-binding,,Protein biosynthesis,,,,
639019,,Protease,Zinc,,,,,
639024,,tRNA-binding,,,,,,
639027,Cytoplasm,Elongation factor,Nucleotide-binding,Protein biosynthesis,,,,
639052,,tRNA-binding,,,,,,
639055,,Ribosomal protein,,,,,,
639072,Cytoplasm,Elongation factor,Nucleotide-binding,Protein biosynthesis,,,,
639085,Cytoplasm,,Zinc,,,,,Zinc-finger
639099,,,Metal-binding,Iron storage,,,,
639103,,rRNA-binding,,,,,,
639113,Cytoplasm,RNA-binding,,Translation regulation,,,,
639126,,rRNA-binding,,,,,,
639142,Signal recognition particle,RNA-binding,Nucleotide-binding,,,,,
639221,,rRNA-binding,,,Methylation,,,
639222,,,,Transcription termination,,,,
639249,,Ribosomal protein,,,,,,
639250,,Ribosomal protein,,,,,,
639254,,Ribosomal protein,,,,,,
639264,,rRNA-binding,,,,,,
639271,,Ribosomal protein,,,,,,
639272,,Ribosomal protein,,,,,,
639282,,Ribosomal protein,,,,,,
639301,,rRNA-binding,,,,,,
639312,,tRNA-binding,,,,,,
639320,Cytoplasm,Sigma factor,,Transcription regulation,,,,
639325,,rRNA-binding,,,,,,
639328,,rRNA-binding,,,,,,
639329,,rRNA-binding,,,,,,
639330,,rRNA-binding,,,,,,
639498,,Chaperone,Nucleotide-binding,Stress response,Phosphoprotein,,,
639820,,Lyase,Metal-binding,,,,,
639923,Cytoplasm,Chaperone,Nucleotide-binding,Stress response,,,,Repeat
640046,,Transferase,,,,,,
640273,,Ribosomal protein,,,,,,
640311,,,,,,True,,
640368,,Ribosomal protein,,,,,,
640398,,Ribosomal protein,,,,,,
640400,,Ribosomal protein,,,,,,
640496,,,Nucleotide-binding,,,,,
641059,,,,,Phosphoprotein,,,
642886,,Elongation factor,Nucleotide-binding,Protein biosynthesis,,,,
643828,Cytoplasm,tRNA-binding,Nucleotide-binding,Ribosome biogenesis,,,Reference proteome,
643836,Membrane,Protease,Zinc,,,,Reference proteome,Transmembrane helix
643841,DNA-directed RNA polymerase,Transferase,,Transcription,,,Reference proteome,
643847,DNA-directed RNA polymerase,Transferase,Zinc,Transcription,,,Reference proteome,
643871,Cytoplasm,tRNA-binding,Zinc,Protein biosynthesis,,,Reference proteome,
643872,,RNA-binding,Nucleotide-binding,Transcription termination,,,Reference proteome,
643878,Cytoplasm,Topoisomerase,Nucleotide-binding,,,,Reference proteome,
643891,,Lyase,Zinc,Thiamine biosynthesis,,,Reference proteome,
643909,Cytoplasm,Excision nuclease,Nucleotide-binding,SOS response,,,Reference proteome,Coiled coil
643918,Membrane,Translocase,Nucleotide-binding,Transport,,,Reference proteome,
643944,Cytoplasm,Sigma factor,,Transcription regulation,,,Reference proteome,Coiled coil
643958,,Topoisomerase,Nucleotide-binding,,,,Reference proteome,
643988,,Topoisomerase,Zinc,,,,Reference proteome,Zinc-finger
644005,Cytoplasm,Ligase,Nucleotide-binding,Protein biosynthesis,,,Reference proteome,
644010,Cytoplasm,Transferase,Metal-binding,,,,Reference proteome,
644011,Cytoplasm,tRNA-binding,Nucleotide-binding,Translation regulation,,,Reference proteome,Repeat
644065,Cytoplasm,Chaperone,,,,,Reference proteome,
644084,Cytoplasm,,Nucleotide-binding,Protein biosynthesis,,,Reference proteome,
644089,Cytoplasm,DNA-binding,,Transcription regulation,,,Reference proteome,
644109,,Protease,Nucleotide-binding,,,,Reference proteome,Repeat
644111,,,Metal-binding,Transport,,,Reference proteome,Repeat
644122,,Oxidoreductase,Pyridoxal phosphate,,,,Reference proteome,
644133,Cytoplasm,Ligase,Nucleotide-binding,Protein biosynthesis,,,Reference proteome,
644155,,Oxidoreductase,,Deoxyribonucleotide synthesis,,,Reference proteome,
644159,,rRNA-binding,,,Methylation,,Reference proteome,
644203,Cytoplasm,Initiation factor,,Protein biosynthesis,,,Reference proteome,
644205,,Lyase,Pyridoxal phosphate,,,,Reference proteome,
644229,,Ribosomal protein,,,,,Reference proteome,
644231,,rRNA-binding,,,,,Reference proteome,
644232,Cytoplasm,rRNA-binding,,Protein biosynthesis,,,Reference proteome,
644248,Cytoplasm,Repressor,Zinc,Transcription regulation,,,Reference proteome,
644261,,tRNA-binding,,,,,Reference proteome,
644271,,tRNA-binding,,,,,Reference proteome,
644272,,rRNA-binding,,,,,Reference proteome,
644273,,tRNA-binding,,,,,Reference proteome,
644274,,rRNA-binding,,,,,Reference proteome,
644280,,rRNA-binding,,,,,Reference proteome,
644283,,rRNA-binding,,,,,Reference proteome,
644297,Cytoplasm,Elongation factor,Nucleotide-binding,Protein biosynthesis,,,Reference proteome,
644308,,Ribosomal protein,,,,,Reference proteome,
644309,Cytoplasm,Elongation factor,Nucleotide-binding,Protein biosynthesis,,,Reference proteome,
644312,,tRNA-binding,,,,,Reference proteome,
644315,,rRNA-binding,,,,,Reference proteome,
644318,,rRNA-binding,,,,,Reference proteome,
644320,Signal recognition particle,RNA-binding,Nucleotide-binding,,,,Reference proteome,
644322,,Ribosomal protein,,,,,Reference proteome,
644343,Cytoplasm,RNA-binding,,,,,Reference proteome,
644353,,RNA-binding,,,,,Reference proteome,Repeat
644377,,Chaperone,Nucleotide-binding,Stress response,Phosphoprotein,,Reference proteome,Coiled coil
644416,Cytoplasm,,,Protein biosynthesis,Methylation,,Reference proteome,
644475,Cytoplasm,,,Lipid metabolism,Phosphoprotein,,Reference proteome,
644492,Cytoplasm,RNA-binding,,Transcription termination,,,Reference proteome,Coiled coil
644496,,rRNA-binding,,,,,Reference proteome,
644500,,,,,Phosphoprotein,,Reference proteome,
644510,Cytoplasm,Sigma factor,,Transcription regulation,,,Reference proteome,
644514,Cytoplasm,Chaperone,Nucleotide-binding,Stress response,,,Reference proteome,Repeat
644549,,Ribosomal protein,,,,,Reference proteome,
644578,,Ribosomal protein,,,,,Reference proteome,
644646,,,,,,,Reference proteome,
644771,,Ribosomal protein,,,,,Reference proteome,
